,Ticker,Date,Open,HighLow,Close,Volume,Count,WAP,High,Low
0,AAPL,20220616,132.09,,130.105,-1,-1,-1.0,132.385,129.075
0,AAPL,20220617,130.065,,131.43,-1,-1,-1.0,133.075,129.815
0,AAPL,20220621,133.42,,135.865,-1,-1,-1.0,137.055,133.32
0,AAPL,20220622,134.805,,135.31,-1,-1,-1.0,137.755,133.905
0,AAPL,20220623,136.75,,138.245,-1,-1,-1.0,138.585,135.625
0,AAPL,20220624,139.875,,141.81,-1,-1,-1.0,141.875,139.765
0,AAPL,20220627,142.685,,141.715,-1,-1,-1.0,143.48,140.965
0,AAPL,20220628,142.14,,137.445,-1,-1,-1.0,143.425,137.325
0,AAPL,20220629,137.465,,139.245,-1,-1,-1.0,140.665,136.665
0,AAPL,20220630,137.235,,136.79,-1,-1,-1.0,138.365,133.775
0,AAPL,20220701,136.165,,138.935,-1,-1,-1.0,139.035,135.67
0,AAPL,20220705,137.78,,141.59,-1,-1,-1.0,141.6,136.935
0,AAPL,20220706,141.355,,142.955,-1,-1,-1.0,144.115,141.075
0,AAPL,20220707,143.245,,146.345,-1,-1,-1.0,146.555,143.245
0,AAPL,20220708,145.18,,147.035,-1,-1,-1.0,147.545,145.005
0,AAPL,20220711,145.735,,144.905,-1,-1,-1.0,146.645,143.785
0,AAPL,20220712,145.765,,145.885,-1,-1,-1.0,148.455,145.055
0,AAPL,20220713,143.005,,145.46,-1,-1,-1.0,146.455,142.13
0,AAPL,20220714,144.125,,148.475,-1,-1,-1.0,148.945,143.24
0,AAPL,20220715,149.665,,150.19,-1,-1,-1.0,150.865,148.205
0,AMZN,20220616,104.47,,103.66,-1,-1,-1.0,104.625,102.01
0,AMZN,20220617,102.8,,106.165,-1,-1,-1.0,106.98,102.675
0,AMZN,20220621,108.2,,108.675,-1,-1,-1.0,111.62,107.895
0,AMZN,20220622,107.425,,108.92,-1,-1,-1.0,112.125,107.05
0,AMZN,20220623,110.385,,112.45,-1,-1,-1.0,112.995,107.94
0,AMZN,20220624,112.305,,116.675,-1,-1,-1.0,116.685,111.425
0,AMZN,20220627,117.09,,113.235,-1,-1,-1.0,117.98,112.7
0,AMZN,20220628,113.435,,107.405,-1,-1,-1.0,114.85,107.13
0,AMZN,20220629,107.385,,108.895,-1,-1,-1.0,110.985,106.925
0,AMZN,20220630,108.145,,106.305,-1,-1,-1.0,108.145,102.525
0,AMZN,20220701,106.245,,109.555,-1,-1,-1.0,109.745,105.855
0,AMZN,20220705,107.675,,113.535,-1,-1,-1.0,114.075,106.33
0,AMZN,20220706,113.3,,114.385,-1,-1,-1.0,115.475,112.015
0,AMZN,20220707,113.84,,116.29,-1,-1,-1.0,116.985,113.49
0,AMZN,20220708,114.58,,115.535,-1,-1,-1.0,116.58,113.695
0,AMZN,20220711,114.06,,111.79,-1,-1,-1.0,114.29,110.875
0,AMZN,20220712,112.205,,109.225,-1,-1,-1.0,113.24,108.345
0,AMZN,20220713,106.97,,110.395,-1,-1,-1.0,111.785,106.015
0,AMZN,20220714,110.235,,110.615,-1,-1,-1.0,111.175,107.58
0,AMZN,20220715,112.41,,113.585,-1,-1,-1.0,115.59,111.58
0,BIL,20220616,91.425,,91.445,-1,-1,-1.0,91.445,91.425
0,BIL,20220617,91.44,,91.445,-1,-1,-1.0,91.445,91.44
0,BIL,20220621,91.435,,91.455,-1,-1,-1.0,91.455,91.435
0,BIL,20220622,91.45,,91.465,-1,-1,-1.0,91.465,91.45
0,BIL,20220623,91.465,,91.465,-1,-1,-1.0,91.465,91.465
0,BIL,20220624,91.46,,91.455,-1,-1,-1.0,91.465,91.455
0,BIL,20220627,91.455,,91.455,-1,-1,-1.0,91.455,91.455
0,BIL,20220628,91.465,,91.465,-1,-1,-1.0,91.465,91.465
0,BIL,20220629,91.465,,91.475,-1,-1,-1.0,91.475,91.465
0,BIL,20220630,91.475,,91.485,-1,-1,-1.0,91.485,91.475
0,BIL,20220701,91.435,,91.425,-1,-1,-1.0,91.435,91.415
0,BIL,20220705,91.425,,91.425,-1,-1,-1.0,91.425,91.425
0,BIL,20220706,91.425,,91.425,-1,-1,-1.0,91.425,91.425
0,BIL,20220707,91.43,,91.425,-1,-1,-1.0,91.435,91.425
0,BIL,20220708,91.425,,91.425,-1,-1,-1.0,91.425,91.425
